#OTU ID,592160,949863,48899,266445,158404,393504,194656,279235,357529,268220,145572,716286,353782,15129,348404,692154,1110008,176775,696563,522961,356529,422727,318764,128227,188889,303326,813944,580121,1131759
CC04B,29,1.8,0.5,5.75,0,0.5,0.5,0,2,7.5,1,0.5,9.2,0.5,2,8.6,1.25,0.2,13,0.25,42.75,1,0.333333333,0.5,39.5,0.25,17.16666667,0.5,0
CC09C,20.33333333,4.6,0.75,11.5,0,1,0.25,0,1.25,5.5,0,1,3.8,0.75,1.75,20,1.5,0,30,0.75,170.75,1.5,1.5,1,84.25,0.625,9.333333333,0.25,0
CC12B,10.16666667,0.4,0.25,5.5,0,0.5,0,0,0.75,1.25,0,0.25,13.8,0.75,0.25,3.8,0,0,7,2.5,36.25,0,0,1.25,64.75,0.5,4.166666667,1.5,0
CC01B,2,0,1.25,0.25,0,1,0,0,3.25,3.5,0,0,4,0,1.5,1,5.5,0,9,14.5,6.25,2,0.833333333,0,17.25,0.25,1.5,0.5,0
CC02D,16.83333333,1.2,0,1.75,0.5,0.5,1,0.5,5.75,9.5,0,0,1.8,0,1,9.2,0,0,6,0,30.5,0,1.166666667,0.75,16.75,0,7.833333333,0.25,0
CC02C,10.66666667,0.6,0,2.75,0,0,0,0,2.75,0,0,0,1,0,0,3.4,0,0,3,0,8,0,2,0.75,5.75,0,5.166666667,0,0
CC11C,5.166666667,1.2,0.5,5,0,0,0,0,0.75,0.75,0,0.75,4.8,0.75,0,5.8,0.25,0,3,0.25,40.25,0,0.333333333,0,16,0.25,3.5,0.5,0
CC08D,2,0.4,0,1.75,1.5,0,0.25,0,3,1,0,0,2.4,0,0.25,2.4,1.75,0,6,0.25,10,0.5,0.166666667,0.25,5.75,0.125,0.666666667,0,0
CC01C,2.5,0.2,0.5,4.75,0,3.5,0.25,0,10,5.75,0,0.75,5.8,0,3.25,2.6,7.5,0,25,0,48.5,1.5,0.333333333,0,28,0.25,2.666666667,0.25,0
CC03D,10.66666667,6.8,1.25,10.75,0,0.5,0,0,4.5,6.75,0.333333333,0.5,32,0,3.25,17.2,3.25,0,12,0.25,159.75,2,0,1,82.75,0.25,6,1,0
CC13B,0.333333333,0,0,0.75,0,0,0,1,1.25,0.25,0,0,0.8,0,0,0.4,0,0.2,2,0,1,0,0,0,2.25,0,0.166666667,0.25,1
CC21B,1.333333333,0,0,0.25,0.5,0,0,0,0.5,0,0.333333333,0,0.4,0,0,0.6,0,0,2,0,5,0,0.833333333,0,10.25,0.125,0.166666667,0,0
CC09D,1.5,0.2,0,0.75,4,0,0.25,0,1.75,0,0,0,0.6,0,0,3,0,0,1,0,4.25,0,1.166666667,0,4.5,0,0.833333333,2.75,0
CC05C,3.166666667,0.8,0,3,0,1,0.25,0,0.25,1.5,0.333333333,0,0.6,0.5,1,5,3.5,0.4,1,0,15.25,3.5,2,0,19.75,0.375,1.666666667,0,0
CC04C,2,1.6,2.75,3.25,0,0.5,0,0,1.25,4,0,0.5,25.4,0,0.75,5.4,1.25,0.2,6,0.25,34.5,0,0,0.5,72.25,0.125,1,0.5,0
CC20D,0.5,0.4,0.25,0.5,0.5,0,0,1,11.5,0.25,0,0,0.8,0,0.25,1,0,0.6,1,0,1.5,0,0.166666667,0,5.5,0,0.333333333,5.5,0
CC06C,1.5,0,0.5,1.25,0.5,0.5,0,0,0.5,0.25,0,0,0,0,0,1.4,0,0,4,0.25,5.25,0,0.166666667,0.25,3.5,0.125,0.333333333,1,0
CC12C,5.166666667,1.2,1.25,6,0,0.5,0.25,0,1.5,2.25,0,1,16.4,0.5,0.25,6.4,0.25,0,10,1,56.5,0,0.166666667,0,26.75,0.375,3.333333333,0.5,0
CC21D,2.5,0,0.75,2.25,0,0,0.25,0,3.75,0.25,1.333333333,0,0,0,0,1.2,0.25,0,0,0,12.5,0,0.166666667,0,10,0,1.5,0.5,0
CC19D,0.833333333,0,0.25,0,0,1,0.25,0.5,2.5,6.25,0,0,0.4,0,2,0.8,17.5,0,4,0,2.25,0,0,0,24,0,0.333333333,1.75,0
CC23D,1.166666667,0.6,0.75,0.75,0,0,0.25,0,1.75,0.25,0.666666667,0,0.2,0.25,0,1.6,1.75,0,1,0.25,1,6,0,0,5.25,0.125,0.666666667,0,0.5
CC14C,1,0,0,0,0,0,0,0,4,0.5,0,0,1.2,0,0,0.4,0,0,0,0,1.5,0,0.166666667,0,1.5,0,0.333333333,4.5,6
CC14D,1.5,0.6,0,0.5,1,2,0,24.5,19.5,0.5,2,0,0.6,0,0.75,1.4,0,0,5,0,2.5,0,0,0.25,26.75,0,0.166666667,18.75,0
CC15B,2.166666667,0.4,0,2,1.5,0,0,1,0.75,0,0,0,0.6,0,0,2,0,0.4,0,0,5.25,0,0.333333333,0.25,2,0.125,0.833333333,0.75,0.5
CC17D,0.5,0.2,0.25,0,0,0.5,0.25,0,7.5,0,0,0,11.6,0,0.25,0,0,0,3,0.25,1.25,0,0,0.25,9.75,0.125,0.5,2,0
CC19B,0.166666667,0,0.25,0,1.5,0,0,0,16,0,0,0,0,0,0,0.2,0,0.4,3,0,1,0,0.166666667,0,6.75,0,0.166666667,0.75,0
CC20B,0.833333333,0.4,0.5,5.5,0,1,0,0,2.75,6.25,0,0,1,0,0,0.8,0,0.6,4,0,29,0,0.333333333,0.25,7,0.125,1.166666667,0.5,0.5
CC18D,0.5,0.2,0,0.25,0.5,0,0.25,0,14.5,0,7.333333333,0,6.4,0,0.25,1,1.25,0.2,6,0,7.5,0,0,0.25,11.5,0.125,0.166666667,7.25,2.5
CC22D,0.666666667,0.6,0,4,0,0,0,0.5,24.75,12.75,0,0,1.4,0,2.5,0.6,0,0,2,0,20.5,0.5,0.166666667,0,36.5,0.5,0.166666667,2.5,0
